Before, SNR After,Tap,LR,Exec_secs

Before, SNR After,Tap,LR,Exec_secs

-5.279199,NaN,25000,0.100000,52.953326

-5.279199,NaN,25000,0.105000,53.517070

-5.279199,NaN,25000,0.110000,51.510404

-5.279199,NaN,25000,0.115000,51.682248

-5.279199,NaN,25000,0.120000,51.352403

-5.279199,NaN,25000,0.125000,51.569405

-5.279199,NaN,25000,0.130000,51.558190

-5.279199,NaN,25000,0.135000,51.657752

-5.279199,NaN,25000,0.140000,51.743648

-5.279199,NaN,25000,0.145000,51.325870

-5.279199,NaN,25000,0.150000,51.442618

-5.279199,NaN,25000,0.155000,52.027106

-5.279199,NaN,25000,0.160000,52.830510

-5.279199,NaN,25000,0.165000,52.291032

-5.279199,NaN,25000,0.170000,53.452704

-5.279199,NaN,25000,0.175000,52.194932

Before, SNR After,Tap,LR,Exec_secs

-5.279199,NaN,25000,0.180000,52.899789

-5.279199,NaN,25000,0.185000,51.974622

-5.279199,NaN,25000,0.190000,53.608939

-5.279199,NaN,25000,0.195000,53.114696

-5.279199,NaN,25000,0.200000,52.751892

-5.279199,NaN,25000,0.205000,53.252466

-5.279199,NaN,25000,0.210000,52.877142

-5.279199,NaN,25000,0.215000,53.240113

-5.279199,NaN,25000,0.220000,53.396446

-5.279199,NaN,25000,0.225000,52.918426

-5.279199,NaN,25000,0.230000,54.452621

-5.279199,NaN,25000,0.235000,54.105780

-5.279199,NaN,25000,0.240000,52.915653

-5.279199,NaN,25000,0.245000,53.386993

-5.279199,NaN,25000,0.250000,51.815898

-5.279199,NaN,25000,0.255000,51.600718

-5.279199,NaN,25000,0.260000,52.177861

-5.279199,NaN,25000,0.265000,51.821736

-5.279199,NaN,25000,0.270000,51.349255

-5.279199,NaN,25000,0.275000,51.827316

-5.279199,NaN,25000,0.280000,54.113082

-5.279199,NaN,25000,0.285000,51.613419

-5.279199,NaN,25000,0.290000,51.393267

-5.279199,NaN,25000,0.295000,52.507287

-5.279199,NaN,25000,0.300000,51.762665

-5.279199,NaN,25000,0.305000,52.096430

-5.279199,NaN,25000,0.310000,52.825210

-5.279199,NaN,25000,0.315000,51.811439

-5.279199,NaN,25000,0.320000,51.980555

-5.279199,NaN,25000,0.325000,52.034315

-5.279199,NaN,25000,0.330000,52.316795

-5.279199,NaN,25000,0.335000,52.018665

-5.279199,NaN,25000,0.340000,51.139954

-5.279199,NaN,25000,0.345000,51.356794

